index,true_label,age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,workclass_Federal-gov,workclass_Local-gov,workclass_Private,workclass_Self-emp-inc,workclass_Self-emp-not-inc,workclass_State-gov,education_10th,education_11th,education_12th,education_1st-4th,education_5th-6th,education_7th-8th,education_9th,education_Assoc-acdm,education_Assoc-voc,education_Bachelors,education_Doctorate,education_HS-grad,education_Masters,education_Prof-school,education_Some-college,marital-status_Divorced,marital-status_Married-civ-spouse,marital-status_Married-spouse-absent,marital-status_Never-married,marital-status_Separated,marital-status_Widowed,occupation_Adm-clerical,occupation_Craft-repair,occupation_Exec-managerial,occupation_Farming-fishing,occupation_Handlers-cleaners,occupation_Machine-op-inspct,occupation_Other-service,occupation_Prof-specialty,occupation_Protective-serv,occupation_Sales,occupation_Tech-support,occupation_Transport-moving,relationship_Husband,relationship_Not-in-family,relationship_Other-relative,relationship_Own-child,relationship_Unmarried,relationship_Wife,race_Amer-Indian-Eskimo,race_Asian-Pac-Islander,race_Black,race_White,sex_Female,sex_Male,native-country_Cambodia,native-country_China,native-country_Columbia,native-country_Mexico,native-country_Nicaragua,native-country_Philippines,native-country_Puerto-Rico,native-country_United-States,label,description_lengths,description_lengths_unnormalized,is_error,L_0,L_1,L_2,L_3,r_min,r_med,relative_position,pseudo_probability,normalized_entropy,description_length_margin,description_length_true_cost,kullback_leibler_divergence
0,0,54.0,186884.0,10.0,0.0,0.0,30.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,[0.08276332 0.23661611 0.14891279 0.53170779],[ 21.85116021  62.47135617  39.31593573 140.38142314],0,21.85116021,62.47135617,39.31593573,140.38142314,0.5557838012429831,0.27069343213205793,0.0,2.6010239517759715e-08,3.464439074895739e-07,0.9338505273385328,0.08276331541035085,0.5000000495766557
1,0,34.0,157747.0,9.0,0.0,0.0,45.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,[0.1046616  0.25695903 0.12998744 0.50839193],[ 21.43210797  52.61885721  26.61821503 104.10610139],0,21.43210797,52.61885721,26.61821503,104.10610139,0.8051669860296726,0.3506883983512942,0.0,0.005562624700315544,0.02483348550740829,0.97467415491043,0.10466159686089445,0.5020119022480678
2,0,30.0,49593.0,15.0,0.0,0.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,[0.19339552 0.19412634 0.1690256  0.44345255],[ 92.45502495  92.80440244  80.80469807 211.99776093],1,92.45502495,92.80440244,80.80469807,211.99776093,1.0,0.7192949674496386,0.08880291858376385,0.9999912839267961,0.000137169034155783,0.975630086372392,0.19339551548014924,0.9999999498320956
3,0,32.0,62374.0,11.0,0.0,0.0,40.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,[0.18419894 0.17797188 0.18592355 0.45190563],[ 56.5451432   54.63356973  57.07456242 138.72538749],1,56.5451432,54.63356973,57.07456242,138.72538749,1.0,0.6773671106081169,0.02273197941127808,0.8802778014383511,0.44145024368297014,0.9937729435254263,0.18419893642343357,0.9553079211388883
4,0,23.0,110677.0,10.0,0.0,0.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,[0.06515663 0.0607332  0.44999282 0.42411735],[ 23.58335165  21.98229705 162.87427974 153.50868867],1,23.58335165,21.98229705,162.87427974,153.50868867,1.0,0.20909372849837174,0.011363702670799839,0.832165728423491,0.3263632242823219,0.9955765693683836,0.0651566286901094,0.9292280231940415
5,2,57.0,170603.0,10.0,0.0,0.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,[0.11843333 0.28685523 0.34366166 0.25104978],[22.5483045  54.61384269 65.42911607 47.79690965],1,22.5483045,54.61384269,65.42911607,47.79690965,1.0,1.0,0.9999999999766797,1.0,2.0536174884540832e-10,0.8673835419293463,0.3436616627472227,1.0
6,0,49.0,34998.0,10.0,0.0,0.0,60.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,[0.21655904 0.31375894 0.18539805 0.28428397],[62.40319831 90.41211981 53.42391444 81.91867399],1,62.40319831,90.41211981,53.42391444,81.91867399,1.0,0.8292610877842227,0.24276073358887712,0.9998740228296473,0.0009068563841455108,0.9688390161579314,0.2165590354847872,0.9999976345739283
7,2,52.0,38795.0,9.0,0.0,0.0,40.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,[0.07770048 0.19705295 0.12544822 0.59979835],[ 22.69604471  57.55849303  36.64299655 175.19904724],1,22.69604471,57.55849303,36.64299655,175.19904724,1.0,0.43032862371970854,0.09145362129617703,0.9999991231700095,9.453934468454171e-06,0.9522522592804811,0.1254482211258303,0.9999999981741123
8,1,37.0,244803.0,9.0,0.0,0.0,40.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,[0.19098982 0.08672163 0.25832976 0.46395879],[ 58.5702057   26.59463182  79.22112    142.2806859 ],0,58.5702057,26.59463182,79.22112,142.2806859,0.4540641696866353,0.2848692198958212,0.0,1.2878587085651816e-14,3.0861811321269685e-13,0.8957318164007062,0.08672163207359397,0.5000000487336366
9,3,47.0,123075.0,14.0,0.0,0.0,50.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,[0.16074012 0.39742326 0.090179   0.35165762],[34.76763833 85.96154122 19.50546534 76.06256035],1,34.76763833,85.96154122,19.50546534,76.06256035,1.0,1.0,0.8510447579130962,1.0,2.7608671489510223e-06,0.9294388802990091,0.3516576197332301,1.0
10,3,41.0,207685.0,14.0,0.0,0.0,61.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,[0.17027583 0.29582376 0.16132066 0.37257975],[35.02489422 60.84948173 33.18286085 76.63781005],1,35.02489422,60.84948173,33.18286085,76.63781005,1.0,1.0,0.9999999999769877,1.0,0.2879128759120709,0.991044833610727,0.37257975446299585,1.0
11,0,39.0,187847.0,10.0,0.0,0.0,40.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,[0.07764782 0.0693266  0.16706133 0.68596425],[ 22.55495438  20.13782477  48.52757706 199.25725601],1,22.55495438,20.13782477,48.52757706,199.25725601,1.0,0.25255371712403263,0.013494513650770935,0.9181242300172733,0.20437717016335574,0.9916787748580052,0.07764782355357505,0.973671444639034
12,1,30.0,49795.0,9.0,0.0,0.0,40.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,[0.09169886 0.09368806 0.20850706 0.60610602],[ 22.06946442  22.54821332  50.1820768  145.87352308],1,22.06946442,22.54821332,50.1820768,145.87352308,1.0,0.3101186018037526,0.0038669887334704307,0.6174524022341203,0.47991072806677626,0.9980107932848535,0.09368806351450357,0.7999991349189483
13,3,50.0,36489.0,10.0,0.0,0.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,[0.10484623 0.23603636 0.07541674 0.58370068],[ 26.4272664   59.49470778  19.00934562 147.12606983],1,26.4272664,59.49470778,19.00934562,147.12606983,1.0,1.0,0.9999999999921947,1.0,0.00364369594494396,0.9705705086017931,0.5837006804100667,1.0
14,0,36.0,103886.0,10.0,0.0,0.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,[0.09019143 0.13692198 0.26671692 0.50616966],[ 23.54708308  35.74744459  69.63416995 132.15023517],0,23.54708308,35.74744459,69.63416995,132.15023517,0.6587067509135566,0.2973969567674942,0.0,5.028612088731066e-06,4.7882695000849806e-05,0.9532694523469395,0.09019143302094777,0.5000018503810153
15,3,54.0,317733.0,16.0,0.0,2472.0,40.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,[0.18224187 0.14122821 0.29414016 0.38238976],[100.35838928  77.77265988 161.97941707 210.57740349],1,100.35838928,77.77265988,161.97941707,210.57740349,1.0,1.0,0.9999999999924702,1.0,2.642020617245329e-09,0.9589863321096163,0.3823897620927927,1.0
16,0,43.0,187702.0,10.0,2174.0,0.0,45.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,[0.183893   0.07432316 0.27996654 0.4618173 ],[ 56.92031513  23.00521506  86.65791472 142.94609867],1,56.92031513,23.00521506,86.65791472,142.94609867,1.0,0.6759885473533737,0.2827651343639891,0.9999999999999981,4.692675116405812e-14,0.8904301680620518,0.18389299603352618,1.0
17,0,27.0,175821.0,9.0,0.0,0.0,34.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,[0.10463153 0.25747599 0.216228   0.42166448],[21.70803302 53.41886179 44.86109131 87.48325122],0,21.70803302,53.41886179,44.86109131,87.48325122,0.48389444807547877,0.35057588125344774,0.0,8.807199414206934e-11,1.5345609946136276e-09,0.8884035272226887,0.10463153012540552,0.500000020038089
18,0,45.0,123283.0,9.0,0.0,0.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,[0.1422652  0.06598565 0.27477906 0.51697009],[ 67.33960792  31.23355639 130.06353633 244.70189602],1,67.33960792,31.23355639,130.06353633,244.70189602,1.0,0.4975845491277302,0.1691400775984518,0.9999999999999998,5.593495253286174e-15,0.9237204576497725,0.14226519534858026,1.0
19,1,35.0,176837.0,9.0,0.0,0.0,40.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,[0.11260359 0.10012847 0.21995491 0.56731303],[ 23.91764321  21.26785799  46.71967582 120.5005214 ],0,23.91764321,21.26785799,46.71967582,120.5005214,0.8892121101722374,0.3338092228386625,0.0,0.06600224858232873,0.17541226300766408,0.9875248863862965,0.10012847182586371,0.5246073809315784
20,0,33.0,112952.0,10.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,[0.0887168  0.0671035  0.26453697 0.57964274],[ 27.11433493  20.50870593  80.84989809 177.1550377 ],1,27.11433493,20.50870593,80.84989809,177.1550377,1.0,0.2920611151639779,0.04216906278824781,0.9986490953744176,0.007412129035414639,0.9783867004834343,0.08871679624068629,0.9999275005189316
21,0,44.0,98106.0,10.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,[0.09872355 0.1176039  0.18100329 0.60266926],[ 24.79481971  29.53669571  45.45970906 151.36282264],0,24.79481971,29.53669571,45.45970906,151.36282264,0.8394581422581389,0.3286124448299298,0.0,0.008646848772776217,0.035841414676147085,0.9811196512484807,0.09872355231470528,0.5031322434549463
