index,true_label,Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness_Area1,Wilderness_Area2,Wilderness_Area3,Wilderness_Area4,Soil_Type1,Soil_Type2,Soil_Type3,Soil_Type4,Soil_Type5,Soil_Type6,Soil_Type7,Soil_Type8,Soil_Type9,Soil_Type10,Soil_Type11,Soil_Type12,Soil_Type13,Soil_Type14,Soil_Type15,Soil_Type16,Soil_Type17,Soil_Type18,Soil_Type19,Soil_Type20,Soil_Type21,Soil_Type22,Soil_Type23,Soil_Type24,Soil_Type25,Soil_Type26,Soil_Type27,Soil_Type28,Soil_Type29,Soil_Type30,Soil_Type31,Soil_Type32,Soil_Type33,Soil_Type34,Soil_Type35,Soil_Type36,Soil_Type37,Soil_Type38,Soil_Type39,Soil_Type40,label,description_lengths,description_lengths_unnormalized,is_error,L_0,L_1,L_2,L_3,L_4,L_5,r_min,r_med,relative_position,pseudo_probability,normalized_entropy,description_length_margin,description_length_true_cost,kullback_leibler_divergence
3906,3,2115,135,16,0,0,1142,244,231,111,1390,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,[0.16708055 0.1060389  0.11957497 0.17012675 0.15843205 0.27874678],"[112.40552472  71.3389947   80.44555407 114.45489951 106.58713977
 187.53038141]",1,112.40552472,71.3389947,80.44555407,114.45489951,106.58713977,187.53038141,1.0,1.0,0.3710766006884929,1.0,0.0006256757845786906,0.9864639312554335,0.1701267542408615,1.0
14843,0,3292,201,30,190,32,2291,193,249,173,3698,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,[0.04732398 0.0845691  0.24602821 0.18306304 0.18515891 0.25385676],"[ 37.59037989  67.17491846 195.42509277 145.41061034 147.07540374
 201.6434679 ]",0,37.59037989,67.17491846,195.42509277,145.41061034,147.07540374,201.6434679,0.5595895127408899,0.24837395811213558,0.0,1.4166445794216997e-13,2.4199664834313044e-12,0.9627548805313118,0.047323982645994155,0.5000001659681439
18187,1,2998,161,17,511,20,6404,235,242,131,2929,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,[0.0482404  0.04290248 0.25555291 0.16983188 0.18363659 0.29983575],"[ 36.97190697  32.88087307 195.8582281  130.16079759 140.74085969
 229.79702355]",0,36.97190697,32.88087307,195.8582281,130.16079759,140.74085969,229.79702355,0.8893475009496016,0.22412802576428326,0.0,0.016446911608450465,0.046807921438360156,0.9946620796176354,0.04290247571654091,0.5059811730671784
22164,1,2774,165,13,60,1,4097,231,244,141,5376,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,[0.08589982 0.04185636 0.20411397 0.20385714 0.17854354 0.28572915],"[ 64.57771269  31.46674999 153.44866663 153.25558922 134.22534727
 214.80527375]",0,64.57771269,31.46674999,153.44866663,153.25558922,134.22534727,214.80527375,0.48726950334345653,0.21842426778215077,0.0,4.218847493575595e-15,7.940654679280357e-14,0.9559565407586547,0.04185636440713243,0.5000001638766359
24978,1,2506,137,10,134,24,1140,235,237,132,4624,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,[0.09583604 0.08596267 0.19696302 0.15614986 0.18071302 0.2843754 ],"[ 65.28971056  58.56333614 134.18395838 106.37938997 123.11340494
 193.73492985]",0,65.28971056,58.56333614,134.18395838,106.37938997,123.11340494,193.73492985,0.8969765011484379,0.47023610940996163,0.0,0.0011974361211365414,0.005163950558499053,0.9901266363494704,0.08596267144736536,0.5004322222697035
28396,1,2821,178,6,134,33,3197,223,244,155,6523,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,[0.06214336 0.04429455 0.20505706 0.18937572 0.20403392 0.2950954 ],"[ 43.50516835  31.00962122 143.55583601 132.5776823  142.83955986
 206.58965568]",0,43.50516835,31.00962122,143.55583601,132.5776823,142.83955986,206.58965568,0.7127801683196389,0.23173747476006382,0.0,3.7432704631523706e-06,2.8194347963124126e-05,0.9821511951005951,0.04429455336384509,0.5000014963203525
28833,1,2642,343,20,42,16,1758,175,205,166,5041,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,[0.09819878 0.05204218 0.18197389 0.1884106  0.17792217 0.30145238],"[ 65.50698756  34.71658668 121.39215259 125.68599178 118.68930847
 201.09452916]",0,65.50698756,34.71658668,121.39215259,125.68599178,118.68930847,201.09452916,0.529967686999375,0.2744962857987891,0.0,4.241051954068098e-14,7.531851158942657e-13,0.9538434004575025,0.05204218012997697,0.5000001262970396
31183,1,3126,210,17,404,56,6152,205,254,180,2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,[0.04794562 0.04247138 0.26054031 0.17529884 0.17236065 0.3013832 ],"[ 36.32450107  32.1771152  197.39021765 132.80968092 130.5836569
 228.33355838]",0,36.32450107,32.1771152,197.39021765,132.80968092,130.5836569,228.33355838,0.8858240100010322,0.22177605018790275,0.0,0.015559748219298952,0.04476848198313885,0.994525761171008,0.04247138292747985,0.5056560349198339
42008,0,3172,317,8,836,0,4269,200,233,173,2106,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0.03925148 0.04477633 0.2441983  0.18509344 0.21601536 0.27066509],"[ 28.3536253   32.3445431  176.39861608 133.70374058 156.04043902
 195.51711416]",0,28.3536253,32.3445431,176.39861608,133.70374058,156.04043902,195.51711416,0.876612330292073,0.20427552863444692,0.0,0.018147330429367226,0.0506421305018215,0.9944751530851317,0.03925148226907541,0.5066051596209309
46318,0,3241,278,9,845,66,4160,196,242,185,2489,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0.04201196 0.05054198 0.25588889 0.20007163 0.18585216 0.26563338],"[ 28.56098976  34.35995494 173.96094539 136.01469612 126.34787756
 180.58554491]",0,28.56098976,34.35995494,173.96094539,136.01469612,126.34787756,180.58554491,0.8312289643290426,0.21927182876857432,0.0,0.0030215320162930714,0.01146798181224011,0.9914699776327157,0.042011957982575336,0.501091579531933
65836,0,3142,64,7,60,-3,3502,227,226,133,4915,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,[0.04387163 0.03974608 0.31237279 0.16900956 0.19305072 0.24194922],"[ 31.61534691  28.64233696 225.10616786 121.7938841  139.11873421
 174.356616  ]",1,31.61534691,28.64233696,225.10616786,121.7938841,139.11873421,174.356616,1.0,0.22942331607957023,0.015132607036956977,0.9513398041976178,0.10858109992018448,0.9958744470555285,0.04387162832570979,0.9873967183465066
71420,1,2953,122,15,300,31,4214,244,227,109,4469,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,[0.08773122 0.03940754 0.24210164 0.20123518 0.19176515 0.23775927],"[ 62.27908062  27.97482597 171.8643319  142.85384436 136.1312107
 168.78175263]",0,62.27908062,27.97482597,171.8643319,142.85384436,136.1312107,168.78175263,0.4491849540978471,0.2051210345636101,0.0,1.3322676295501878e-15,2.4887408841694853e-14,0.9516763244492216,0.03940754368682283,0.5000001563231347
80528,0,3064,76,4,360,23,2721,225,232,143,6499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,[0.05023394 0.04622686 0.21140597 0.20593599 0.19060869 0.29558855],"[ 36.40554639  33.50154061 153.21016749 149.24596296 138.13796583
 214.21898763]",1,36.40554639,33.50154061,153.21016749,149.24596296,138.13796583,214.21898763,1.0,0.2644542560396937,0.016069316094657664,0.948044102052876,0.11398543611932895,0.9959929281720563,0.050233935595082005,0.9861642790889943
89530,1,2710,18,7,474,79,1368,215,226,148,1639,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,[0.09962872 0.04152207 0.17179228 0.22102951 0.19710574 0.26892168],"[ 62.05073281  25.86076446 106.99562891 137.66154672 122.76135144
 167.4897342 ]",0,62.05073281,25.86076446,106.99562891,137.66154672,122.76135144,167.4897342,0.4167680749036303,0.21660419489649008,0.0,2.220446049250313e-16,3.9983297721646916e-15,0.9418933522038903,0.04152206815111437,0.5000001294958889
99397,1,2656,14,9,124,7,537,212,222,147,1405,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,[0.09862594 0.04217511 0.1619946  0.21718124 0.19181335 0.28820976],"[ 64.2728228   27.48479141 105.56908211 141.53326219 125.00145197
 187.82132655]",0,64.2728228,27.48479141,105.56908211,141.53326219,125.00145197,187.82132655,0.42762695354298913,0.2201608608506384,0.0,0.0,2.165647692950713e-15,0.9435491700185239,0.04217511044594783,0.5000001363915443
102345,1,3001,318,12,446,64,4855,189,229,180,1706,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,[0.05005115 0.04264041 0.24144182 0.20097908 0.19409684 0.2707907 ],"[ 32.00058106  27.26247065 154.36764758 128.49748689 124.09727547
 173.13207558]",0,32.00058106,27.26247065,154.36764758,128.49748689,124.09727547,173.13207558,0.8519367382120925,0.2226980099848112,0.0,0.008679186464750743,0.027816241262926023,0.9925892632305231,0.04264041488909525,0.5031441093862905
106232,0,3129,54,6,127,16,3556,224,226,137,3986,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,[0.04537902 0.0378912  0.2702719  0.18475938 0.20695701 0.25474149],"[ 29.90022757  24.96650391 178.08208604 121.73790717 136.3639191
 167.84910596]",1,29.90022757,24.96650391,178.08208604,121.73790717,136.3639191,167.84910596,1.0,0.2376808448608472,0.0322222179567517,0.9928518200745982,0.02368677029773755,0.9925121785797241,0.0453790240189033,0.9991984880723918
110336,1,2939,337,8,134,10,4894,203,229,165,2223,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,[0.052639   0.03807177 0.23408491 0.19310989 0.19900003 0.28309439],"[ 33.79964984  24.44599176 150.30656667 123.99639787 127.77847309
 181.77569212]",0,33.79964984,24.44599176,150.30656667,123.99639787,127.77847309,181.77569212,0.7232616868813319,0.1978930092536937,0.0,8.664036658778684e-05,0.0005006522918548643,0.9854327710495321,0.03807177425595755,0.5000313897729435
112889,1,2981,35,13,642,78,3271,218,211,127,1368,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,[0.08558029 0.03272921 0.2366742  0.16524073 0.18413644 0.29563914],"[ 60.31243586  23.06580541 166.79538679 116.45287405 129.76956591
 208.35073803]",0,60.31243586,23.06580541,166.79538679,116.45287405,129.76956591,208.35073803,0.38243863111678944,0.1691832791890588,0.0,0.0,1.3861212054406481e-15,0.9471489191150664,0.032729208861899846,0.5000001650932353
115205,1,2922,118,22,297,120,4488,251,215,80,418,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,[0.05169365 0.0433787  0.20671324 0.20505679 0.19544746 0.29771015],"[ 35.66381595  29.92726937 142.61291581 141.47012292 134.84057877
 205.39232805]",0,35.66381595,29.92726937,142.61291581,141.47012292,134.84057877,205.39232805,0.8391493891488876,0.22672869014766958,0.0,0.00321551651162022,0.012092391866962973,0.9916850440373717,0.043378698912833455,0.5011617638413263
124735,1,2768,96,7,218,19,1934,232,229,129,2362,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,[0.09903125 0.03631315 0.17424458 0.18941617 0.21846957 0.28252528],"[ 59.54946507  21.83582189 104.7767406  113.8997225  131.37011279
 169.8880874 ]",0,59.54946507,21.83582189,104.7767406,113.8997225,131.37011279,169.8880874,0.3666837622129007,0.18840741981673617,0.0,0.0,8.798155909513213e-16,0.9372819026472383,0.03631315056299961,0.5000001304516192
129193,1,2727,29,2,601,110,1165,218,233,152,805,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,[0.09177576 0.03983449 0.19014868 0.19825946 0.17721353 0.30276807],"[ 66.29127177  28.77316395 137.34778783 143.20635419 128.00450151
 218.69479069]",0,66.29127177,28.77316395,137.34778783,143.20635419,128.00450151,218.69479069,0.43404151378171635,0.20743553877121976,0.0,0.0,1.0642753929298076e-15,0.948058729568653,0.03983448997648395,0.5000001590796902
133605,1,2584,29,18,421,60,934,211,199,119,330,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0.06506695 0.09345098 0.17053296 0.21042889 0.23360579 0.22691443],"[ 41.10655492  59.03838808 107.73552976 132.94009501 147.58228135
 143.3549601 ]",1,41.10655492,59.03838808,107.73552976,132.94009501,147.58228135,143.3549601,1.0,0.515421565083025,0.16841240497777168,0.9999999836956383,1.722728193381009e-07,0.97161596912888,0.09345098266818151,0.9999999999941827
135326,1,2842,54,8,342,44,1956,225,222,130,1537,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,[0.09749214 0.04032741 0.22134698 0.18319881 0.20989373 0.24774093],"[ 59.21294071  24.49330425 134.4375699  111.26784903 127.4813061
 150.46822866]",0,59.21294071,24.49330425,134.4375699,111.26784903,127.4813061,150.46822866,0.4136478269090574,0.21011025384236615,0.0,8.881784197001252e-16,1.666715069917833e-14,0.9428352740723062,0.0403274102863365,0.5000001268796344
135345,1,2787,91,11,495,3,1718,237,223,117,972,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,[0.09485559 0.03681445 0.17597128 0.17791233 0.20773203 0.30671432],"[ 60.147287    23.34378994 111.58219169 112.81299773 131.72146872
 194.48546576]",0,60.147287,23.34378994,111.58219169,112.81299773,131.72146872,194.48546576,0.3881104386239714,0.1911077564971327,0.0,0.0,2.1333086326932723e-15,0.9419588524034205,0.036814446060987646,0.5000001390087636
140285,1,2836,195,16,150,42,2308,215,252,166,1605,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,[0.04183169 0.04242141 0.18622875 0.20210265 0.19435604 0.33305945],"[ 24.01449554  24.35303816 106.90911479 116.02191164 111.5747813
 191.20082774]",1,24.01449554,24.35303816,106.90911479,116.02191164,111.5747813,191.20082774,1.0,0.22150356595383894,0.002024941964711497,0.5838364645297502,0.3789702060484862,0.999410280695108,0.04242141428374552,0.7798475163413336
148017,0,3064,350,15,67,30,4935,191,213,159,335,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,[0.09558234 0.04223525 0.21188071 0.22000438 0.17933378 0.25096353],"[ 66.33686993  29.31246851 147.05125426 152.68931473 124.46275836
 174.17584262]",1,66.33686993,29.31246851,147.05125426,152.68931473,124.46275836,174.17584262,1.0,0.5284192576637713,0.2555815204996569,0.9999999999999999,1.7207394080484855e-15,0.9466529098282022,0.09558234154081127,1.0
152662,1,2679,57,16,218,9,1182,229,204,103,1761,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,[0.06385592 0.04812708 0.19849764 0.20269426 0.23808499 0.2487401 ],"[ 35.32991118  26.62753043 109.82385961 112.14574759 131.72656382
 137.62177852]",0,35.32991118,26.62753043,109.82385961,112.14574759,131.72656382,137.62177852,0.753682348466247,0.25280203733614054,0.0,0.0001661620691237875,0.0008997756084768354,0.9842711588312357,0.04812708256299946,0.5000600380313577
161716,1,3144,234,15,424,83,5916,193,252,194,1852,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,[0.05780934 0.04633956 0.26052575 0.18339695 0.18613351 0.26579489],"[ 40.07061511  32.12032085 180.58373575 127.1218158  129.0186658
 184.23605068]",0,40.07061511,32.12032085,180.58373575,127.1218158,129.0186658,184.23605068,0.8015929069474773,0.2429562798728896,0.0,0.00035243415190400196,0.0017605328947771207,0.9885302164748123,0.04633955862019545,0.5001272774695757
164734,1,2917,20,5,42,4,1590,217,229,150,1785,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,[0.03577463 0.04155098 0.17327756 0.18598822 0.23938816 0.32402045],"[ 22.25488283  25.8482731  107.79349424 115.70061053 148.91995013
 201.5684923 ]",1,22.25488283,25.8482731,107.79349424,115.70061053,148.91995013,201.5684923,1.0,0.21676157683091674,0.020039696265113392,0.9732313466905473,0.06882825462270749,0.9942236411286833,0.04155098400413942,0.9946394415644833
184617,1,2917,141,3,90,2,849,224,238,150,2130,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0.05118786 0.0901736  0.20536904 0.19508227 0.20512246 0.25306478],"[ 31.38540279  55.28918379 125.92029218 119.61304398 125.76910289
 155.16453008]",1,31.38540279,55.28918379,125.92029218,119.61304398,125.76910289,155.16453008,1.0,0.4955539007498682,0.1931164124610697,0.9999999999584358,5.777040045897559e-10,0.9610142539233356,0.0901736039174291,0.9999999999999989
201218,0,3197,294,21,384,123,4380,155,229,212,1248,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,[0.05820672 0.04887317 0.28150033 0.18183516 0.16800289 0.26158173],"[ 41.81561532  35.1104089  202.22939716 130.63009257 120.69301069
 187.9199029 ]",1,41.81561532,35.1104089,202.22939716,130.63009257,120.69301069,187.9199029,1.0,0.3090206739252347,0.04012234929000446,0.9987769777026996,0.005259850955049809,0.9906664517029203,0.058206718885967394,0.9999371900406088
