alcohol,malic_acid,ash,alcalinity_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,OD280_OD315_of_diluted_wines,proline,class,feature_kDN,feature_DS,feature_DCP,feature_TD_P,feature_TD_U,feature_CL,feature_CLD,feature_MV,feature_CB,feature_N1,feature_N2,feature_LSC,feature_LSR,feature_Harmfulness,feature_Usefulness,feature_F1,feature_F2,feature_F3,feature_F4,instance_hardness,comittee_vote
14.23,1.71,2.43,15.6,127,2.8,3.06,0.28,2.29,5.64,1.04,3.92,1065,1,0.0,0.01754385964912286,0.0,0.6,0.6,0.03578779762518802,0.03373108659160018,0.16901408450704225,0.7514044943820224,0.0,0.24023363231377426,0.05084745762711862,0.12623243815031204,0.0,0.3220338983050848,0.6538461538461539,0.2057369614512471,0.4699355231070714,0.5977813562354627,0.038295475895209985,1
13.2,1.78,2.14,11.2,100,2.65,2.76,0.26,1.28,4.38,1.05,3.4,1050,1,0.0,0.01754385964912286,0.0,0.6,0.6,0.035791044682654594,0.033734332442089565,0.16901408450704225,0.7514044943820224,0.0,0.38946646702687626,0.6610169491525424,0.4497708710296655,0.0,0.3728813559322034,0.7692307692307693,0.27980085348506384,0.46419254836282475,0.5542483660130718,0.04749865513315199,1
13.16,2.36,2.67,18.6,101,2.8,3.24,0.3,2.81,5.68,1.03,3.17,1185,1,0.0,0.01754385964912286,0.0,0.6,0.6,0.035787798533827186,0.03373108749990161,0.16901408450704225,0.7514044943820224,0.0,0.3512956181025113,0.47457627118644063,0.2926343867110436,0.0,0.30508474576271183,0.7692307692307693,0.2648189464642973,0.4976138189493376,0.6027397260273972,0.04463449122276997,1
14.37,1.95,2.5,16.8,113,3.85,3.49,0.24,2.18,7.8,0.86,3.45,1480,1,0.0,0.01754385964912286,0.0,0.6,0.6,0.03578779760100281,0.03373108656742396,0.16901408450704225,0.7514044943820224,0.0,0.2885690299642417,0.15254237288135597,0.21493352111892816,0.0,0.5593220338983051,0.6153846153846154,0.1808107319918343,0.44548569926829085,0.6250407777125333,0.037604213702603584,1
13.24,2.59,2.87,21.0,118,2.8,2.69,0.39,1.82,4.32,1.04,2.93,735,1,0.0,0.9824561403508771,0.0,1.0,1.0,0.04249288267834639,0.04043368432559352,0.16901408450704225,0.7514044943820224,0.0,0.4070085892870511,0.7457627118644068,0.5017059679054121,0.0,0.6101694915254237,0.8461538461538461,0.3191358024691356,0.5234899695967778,0.6416219439475254,0.16903633273844254,1
14.2,1.76,2.45,15.2,112,3.27,3.39,0.34,1.97,6.75,1.05,2.85,1450,1,0.0,0.01754385964912286,0.0,0.6,0.6,0.03578779760100281,0.03373108656742402,0.16901408450704225,0.7514044943820224,0.0,0.2620282895518492,0.10169491525423724,0.18971236665301283,0.0,0.38983050847457623,0.6538461538461539,0.18683612123477558,0.4725601470989699,0.6567164179104478,0.022021291920402364,1
14.39,1.87,2.45,14.6,96,2.5,2.52,0.3,1.98,5.25,1.02,3.58,1290,1,0.0,0.01754385964912286,0.0,0.6,0.6,0.0357877976022154,0.033731086568636104,0.16901408450704225,0.7514044943820224,0.0,0.27728917273187803,0.11864406779661019,0.28985041673033907,0.0,0.30508474576271183,0.6923076923076923,0.2272300469483568,0.47872188099276564,0.6428145609583291,0.04178757997898952,1
14.06,2.15,2.61,17.6,121,2.6,2.51,0.31,1.25,5.05,1.06,3.58,1295,1,0.0,0.01754385964912286,0.0,0.6,0.6,0.03578779761541684,0.03373108658183266,0.16901408450704225,0.7514044943820224,0.0,0.3074429070868795,0.06779661016949157,0.20323167604592862,0.0,0.3728813559322034,0.7692307692307692,0.22570480550936578,0.4786858442310095,0.619718309859155,0.03432081050568481,1
14.83,1.64,2.17,14.0,97,2.8,2.98,0.29,1.98,5.2,1.08,2.85,1045,1,0.0,0.01754385964912286,0.0,0.6,0.6,0.035787797678489275,0.033731086644881614,0.16901408450704225,0.7514044943820224,0.0,0.335584185715069,0.18644067796610164,0.35059470461328746,0.0,0.288135593220339,0.6923076923076923,0.3083916083916081,0.46787588963845184,0.6428145609583291,0.037628678548244254,1
13.86,1.35,2.27,16.0,98,2.98,3.15,0.22,1.85,7.22,1.01,3.55,1045,1,0.0,0.01754385964912286,0.0,0.6,0.6,0.035787797602918836,0.03373108656933932,0.16901408450704225,0.7514044943820224,0.0,0.2739471485856495,0.2542372881355932,0.3912850407445767,0.0,0.2542372881355932,0.6923076923076923,0.25343000557724477,0.46310789573911804,0.5969546427561695,0.04455244265698899,1
14.1,2.16,2.3,18.0,105,2.95,3.32,0.22,2.38,5.75,1.25,3.17,1510,1,0.0,0.01754385964912286,0.0,0.6,0.6,0.035787797601003146,0.03373108656742435,0.16901408450704225,0.7514044943820224,0.0,0.27945706791550984,0.11864406779661019,0.25406531015737677,0.0,0.3728813559322034,0.7307692307692308,0.17516211113847166,0.462576455089513,0.6193421698576338,0.03241035859896224,1
14.12,1.48,2.32,16.8,95,2.2,2.43,0.26,1.57,5.0,1.17,2.82,1280,1,0.0,0.01754385964912286,0.0,0.6,0.6,0.035787798505239055,0.033731087471324084,0.16901408450704225,0.7514044943820224,0.0,0.3528508978118281,0.6949152542372881,0.520997365506764,0.0,0.3220338983050848,0.7307692307692308,0.23034330011074197,0.44970031697941126,0.5659189745937286,0.05107779251527289,1
13.75,1.73,2.41,16.0,89,2.6,2.76,0.29,1.81,5.6,1.15,2.9,1320,1,0.0,0.01754385964912286,0.0,0.6,0.6,0.03578779761287132,0.03373108657928814,0.16901408450704225,0.7514044943820224,0.0,0.33742951647100194,0.4067796610169492,0.4153799838120176,0.0,0.1694915254237288,0.7692307692307693,0.21837610481143602,0.4743237305698571,0.5866666666666666,0.03799944135881872,1
14.75,1.73,2.39,11.4,91,3.1,3.69,0.43,2.81,5.4,1.25,2.73,1150,1,0.0,0.01754385964912286,0.0,0.6,0.6,0.03578779770626883,0.0337310866726509,0.16901408450704225,0.7514044943820224,0.0,0.32523545645350116,0.18644067796610164,0.23251387411418356,0.0,0.6949152542372881,0.6153846153846154,0.280279010779962,0.4167624243927692,0.5750345208505938,0.03919165581041195,1
14.38,1.87,2.38,12.0,102,3.3,3.64,0.29,2.96,7.5,1.2,3.0,1547,1,0.0,0.01754385964912286,0.0,0.6,0.6,0.03578779760100281,0.03373108656742396,0.16901408450704225,0.7514044943820224,0.0,0.2910261746045989,0.13559322033898302,0.26049851478130825,0.0,0.6271186440677966,0.576923076923077,0.1686638302159932,0.4187587943455072,0.5866666666666666,0.021503910558996475,1
13.63,1.81,2.7,17.2,112,2.85,2.91,0.3,1.46,7.3,1.28,2.88,1310,1,0.0,0.01754385964912286,0.0,0.6,0.6,0.03578779760103179,0.03373108656745294,0.16901408450704225,0.7514044943820224,0.0,0.23735751308947772,0.06779661016949157,0.16697776433401768,0.0,0.35593220338983056,0.6923076923076923,0.22124965352240067,0.473185233854599,0.6054307116104868,0.04319186881023518,1
14.3,1.92,2.72,20.0,120,2.8,3.14,0.33,1.97,6.2,1.07,2.65,1280,1,0.0,0.01754385964912286,0.0,0.6,0.6,0.03578779760113049,0.03373108656755158,0.16901408450704225,0.7514044943820224,0.0,0.275053499796704,0.13559322033898302,0.09004479750192029,0.0,0.35593220338983056,0.7307692307692308,0.23034330011074197,0.4900835688957284,0.6567164179104478,0.043746894565611316,1
13.83,1.57,2.62,20.0,115,2.95,3.4,0.4,1.72,6.6,1.13,2.57,1130,1,0.0,0.01754385964912286,0.0,0.6,0.6,0.03578779766046858,0.033731086626867635,0.16901408450704225,0.7514044943820224,0.0,0.2866142037310345,0.30508474576271183,0.27587924217904125,0.0,0.38983050847457623,0.7307692307692308,0.2899534766754684,0.4830412411686615,0.6120136943666354,0.03677174670006167,1
14.19,1.59,2.48,16.5,108,3.3,3.93,0.32,1.86,8.7,1.23,2.82,1680,1,0.0,0.01754385964912286,0.0,0.6,0.6,0.03578779760100281,0.03373108656742396,0.16901408450704225,0.7514044943820224,0.0,0.24175543606709315,0.1694915254237288,0.2317872849962237,0.0,0.6271186440677966,0.6538461538461539,0.14882008808256098,0.44104376446348137,0.6376811594202899,0.036977327376984115,1
13.64,3.1,2.56,15.2,116,2.7,3.03,0.17,1.66,5.1,0.96,3.36,845,1,0.0,0.01754385964912286,0.0,0.6,0.6,0.03578831693732498,0.033731605710701384,0.16901408450704225,0.7514044943820224,0.0,0.32387255501606904,0.1694915254237288,0.2832748060963869,0.0,0.423728813559322,0.8846153846153846,0.2878001628001627,0.51436039512354,0.6162539682539682,0.04315869403174,1
14.06,1.63,2.28,16.0,126,3.0,3.17,0.24,2.1,5.65,1.09,3.71,780,1,0.0,0.01754385964912286,0.0,0.6,0.6,0.035787811925085955,0.03373110088618264,0.16901408450704225,0.7514044943820224,0.0,0.28545016473584084,0.44067796610169496,0.27475660939125435,0.0,0.35593220338983056,0.6923076923076923,0.23032130294700115,0.48305586323199606,0.6392398229132922,0.047123882147852236,1
12.93,3.8,2.65,18.6,102,2.41,2.41,0.25,1.98,4.5,1.03,3.52,770,1,0.1,0.01754385964912286,0.0,0.6,0.6,0.08155270493442046,0.07947940079149712,0.16901408450704225,0.7514044943820224,0.0,0.4567567998559726,0.8983050847457628,0.5956536593440139,0.025210084033613446,0.7457627118644068,0.8846153846153846,0.2582943925233644,0.5153399435050077,0.6428145609583291,0.1826266657868688,1
13.71,1.86,2.36,16.6,101,2.61,2.88,0.27,1.69,3.8,1.11,4.0,1035,1,0.0,0.01754385964912286,0.0,0.6,0.6,0.03578808701071057,0.03373137586955394,0.16901408450704225,0.7514044943820224,0.0,0.3428763542190202,0.47457627118644063,0.4024010040481326,0.0,0.22033898305084743,0.6923076923076923,0.19770471464019843,0.47842437184940867,0.5636141636141637,0.04497682275425374,1
12.85,1.6,2.52,17.8,95,2.48,2.37,0.26,1.46,3.93,1.09,3.63,1015,1,0.1,0.01754385964912286,0.0,0.6,0.6,0.03660502265068255,0.03454800790358736,0.16901408450704225,0.7514044943820224,0.25,0.40493376438724427,0.864406779661017,0.6395586636174635,0.07563025210084033,0.3389830508474576,0.8076923076923077,0.2413189282056364,0.47308598916596123,0.6215762273901807,0.09155374290131135,1
13.5,1.81,2.61,20.0,96,2.53,2.61,0.28,1.66,3.52,1.12,3.82,845,1,0.1,0.01754385964912286,0.0,0.6,0.6,0.03648261057882418,0.03442564131697007,0.16901408450704225,0.7514044943820224,0.0,0.39122510716654846,0.8813559322033898,0.5928973728561121,0.008403361344537815,0.35593220338983056,0.8076923076923077,0.21674990395697266,0.5042626195748969,0.6124219725343321,0.18228854734482636,1
13.05,2.05,3.22,25.0,124,2.63,2.68,0.47,1.92,3.58,1.13,3.2,830,1,0.2,0.01754385964912286,0.0,0.6,0.6,0.9688321618924453,0.9667708444048255,0.16901408450704225,0.7514044943820224,0.5,0.3860584569218959,0.8983050847457628,0.5166387256129014,0.008403361344537815,0.9322033898305084,0.7692307692307692,0.3250694444444442,0.47589165244777365,0.6219432732287858,0.3123807635899486,1
13.39,1.77,2.62,16.1,93,2.85,2.94,0.34,1.45,4.8,0.92,3.22,1195,1,0.0,0.01754385964912286,0.0,0.6,0.6,0.03578780421447736,0.0337310931784402,0.16901408450704225,0.7514044943820224,0.0,0.3257637950095229,0.1694915254237288,0.2310356493034219,0.0,0.23728813559322037,0.7692307692307693,0.2607106969946104,0.500451677247493,0.6567164179104478,0.041704841138965665,1
13.3,1.72,2.14,17.0,94,2.4,2.19,0.27,1.35,3.95,1.02,2.77,1285,1,0.0,0.01754385964912286,0.0,0.6,0.6,0.035790359736516675,0.03373364775055565,0.16901408450704225,0.7514044943820224,0.0,0.3553627814196805,0.7966101694915254,0.5635586285744312,0.025210084033613446,0.3728813559322034,0.7692307692307693,0.22877606909627132,0.4653775585864605,0.5943635670230538,0.15464150242224295,1
13.87,1.9,2.8,19.4,107,2.95,2.97,0.37,1.76,4.5,1.25,3.4,915,1,0.0,0.01754385964912286,0.0,0.6,0.6,0.03578842715803732,0.03373171589044305,0.16901408450704225,0.7514044943820224,0.0,0.3853909099678364,0.4576271186440678,0.39573920264982176,0.008403361344537815,0.23728813559322037,0.7692307692307693,0.27980085348506384,0.49762216036018114,0.6320532514080901,0.05191145922919116,1
14.02,1.68,2.21,16.0,96,2.65,2.33,0.26,1.98,4.7,1.04,3.59,1035,1,0.0,0.01754385964912286,0.0,0.6,0.6,0.035787859541582256,0.03373114848497921,0.16901408450704225,0.7514044943820224,0.0,0.3414336931034774,0.5254237288135593,0.44048643255926845,0.0,0.2542372881355932,0.7307692307692308,0.2472248485485169,0.4810498113893884,0.6428145609583291,0.05010531168328747,1
13.73,1.5,2.7,22.5,101,3.0,3.25,0.29,2.38,5.7,1.19,2.71,1285,1,0.0,0.01754385964912286,0.0,0.6,0.6,0.03578779763622264,0.03373108660263069,0.16901408450704225,0.7514044943820224,0.0,0.34134642009372684,0.38983050847457623,0.32211028031759836,0.0,0.44067796610169496,0.7692307692307693,0.22877606909627132,0.4719585016529797,0.5866666666666666,0.047594027485088564,1
13.58,1.66,2.36,19.1,106,2.86,3.19,0.22,1.95,6.9,1.09,2.88,1515,1,0.0,0.01754385964912286,0.0,0.6,0.6,0.035787797601002924,0.03373108656742407,0.16901408450704225,0.7514044943820224,0.0,0.2970279087191725,0.10169491525423724,0.2577763646051643,0.0,0.3389830508474576,0.7307692307692308,0.17425483426972632,0.4881363323679538,0.6350877192982457,0.025400403899752177,1
13.68,1.83,2.36,17.2,104,2.42,2.69,0.42,1.97,3.84,1.23,2.87,990,1,0.0,0.01754385964912286,0.0,0.6,0.6,0.03583206248649262,0.0337753349991895,0.16901408450704225,0.7514044943820224,0.0,0.4285395296518393,0.7796610169491526,0.49306316632520153,0.025210084033613446,0.288135593220339,0.7307692307692308,0.310705842620736,0.49189617189265306,0.6411309473919481,0.1155338921778134,1
13.76,1.53,2.7,19.5,132,2.95,2.74,0.5,1.35,5.4,1.25,3.0,1235,1,0.0,0.01754385964912286,0.0,0.6,0.6,0.035787819765348394,0.033731108723530745,0.16901408450704225,0.7514044943820224,0.0,0.3030781585890079,0.1694915254237288,0.2173950489060451,0.0,0.6610169491525424,0.7307692307692308,0.24547963927026858,0.44921275888204704,0.5731700680272108,0.037156450983446,1
13.51,1.8,2.65,19.0,110,2.35,2.53,0.29,1.54,4.2,1.1,2.87,1095,1,0.0,0.01754385964912286,0.0,0.6,0.6,0.035789305354344436,0.033732593760312124,0.16901408450704225,0.7514044943820224,0.0,0.31953239975058934,0.576271186440678,0.4795379095814496,0.008403361344537815,0.18644067796610164,0.8076923076923077,0.3085981494946039,0.4983844091638944,0.6277475297439,0.03374897285813816,1
13.48,1.81,2.41,20.5,100,2.7,2.98,0.26,1.86,5.1,1.04,3.47,920,1,0.0,0.01754385964912286,0.0,0.6,0.6,0.03578863696369505,0.03373192561811306,0.16901408450704225,0.7514044943820224,0.0,0.37829700113464226,0.5593220338983051,0.4667649888426103,0.01680672268907563,0.15254237288135597,0.8461538461538461,0.26683533628505146,0.5177099022772789,0.6060722503556707,0.06894045289550454,1
13.28,1.64,2.84,15.5,110,2.6,2.68,0.34,1.36,4.6,1.09,2.78,880,1,0.0,0.01754385964912286,0.0,0.6,0.6,0.03584935299949055,0.03379261908521547,0.16901408450704225,0.7514044943820224,0.0,0.3687942233080558,0.6610169491525424,0.4694679450525303,0.0,0.3728813559322034,0.8461538461538461,0.30262626262626224,0.5072021535245307,0.6567164179104478,0.03775410879473928,1
13.05,1.65,2.55,18.0,98,2.45,2.43,0.29,1.44,4.25,1.12,2.51,1105,1,0.1,0.01754385964912286,0.0,0.6,0.6,0.035880667143704637,0.033823921589937134,0.16901408450704225,0.7514044943820224,0.25,0.3541030613071722,0.864406779661017,0.6066601568171959,0.04201680672268908,0.30508474576271183,0.8076923076923077,0.30303030303030304,0.4935966582584348,0.6173901957034487,0.0643987000077827,1
13.07,1.5,2.1,15.5,98,2.4,2.64,0.28,1.37,3.7,1.18,2.69,1020,1,0.2,0.01754385964912286,0.0,0.6,0.6,0.03784053349809424,0.035783059836983655,0.16901408450704225,0.7514044943820224,0.0,0.38195491205503274,0.847457627118644,0.6196091170437266,0.09243697478991597,0.3728813559322034,0.7307692307692308,0.30293501048217986,0.4530179273367867,0.5714285714285715,0.3305374908625832,1
14.22,3.99,2.51,13.2,128,3.0,3.04,0.2,2.08,5.1,0.89,3.53,760,1,0.0,0.01754385964912286,0.0,0.6,0.6,0.03578822436017626,0.033731513167964855,0.16901408450704225,0.7514044943820224,0.0,0.2933916134373461,0.2542372881355932,0.16295621597089638,0.0,0.6949152542372881,0.7692307692307693,0.25665209723180726,0.48799554729514366,0.6393555541141186,0.025805431850012273,1
13.56,1.71,2.31,16.2,117,3.15,3.29,0.34,2.34,6.13,0.95,3.38,795,1,0.0,0.01754385964912286,0.0,0.6,0.6,0.03578783548157882,0.033731124433919235,0.16901408450704225,0.7514044943820224,0.0,0.27987427329292713,0.30508474576271183,0.23178134492620872,0.0,0.3389830508474576,0.8076923076923077,0.28374331025678784,0.5103853856744286,0.6567164179104478,0.06833752502212087,1
13.41,3.84,2.12,18.8,90,2.45,2.68,0.27,1.48,4.28,0.91,3.0,1035,1,0.1,0.01754385964912286,0.0,0.6,0.6,0.03631885566610871,0.03426194725594883,0.16901408450704225,0.7514044943820224,0.0,0.3974230063164619,0.864406779661017,0.550031335849153,0.01680672268907563,0.6610169491525424,0.8461538461538463,0.33153409090909075,0.48702181873753614,0.6126363487725691,0.06288905523161148,1
13.88,1.89,2.59,15.0,101,3.25,3.56,0.17,1.7,5.43,0.88,3.56,1095,1,0.0,0.01754385964912286,0.0,0.6,0.6,0.03578779774468044,0.03373108671104824,0.16901408450704225,0.7514044943820224,0.0,0.29421966787317066,0.13559322033898302,0.29989745299503767,0.0,0.3220338983050848,0.7307692307692308,0.2518494103859956,0.46538600674297775,0.6135921110483009,0.03632161074102436,1
13.24,3.98,2.29,17.5,103,2.64,2.63,0.32,1.66,4.36,0.82,3.0,680,1,0.3,0.9824561403508771,0.0,1.0,1.0,0.40944286184757506,0.40729529025533384,0.16901408450704225,0.7514044943820224,0.5,0.38019248311957055,0.8813559322033898,0.5199914134804313,0.058823529411764705,0.711864406779661,0.9230769230769231,0.33153409090909075,0.5055934497165798,0.6376811594202899,0.3818147781167629,1
13.05,1.77,2.1,17.0,107,3.0,3.0,0.28,2.03,5.04,0.88,3.35,885,1,0.0,0.01754385964912286,0.0,0.6,0.6,0.03580478331337644,0.03374806596598856,0.16901408450704225,0.7514044943820224,0.5,0.3624793429302251,0.5932203389830508,0.41185104468291356,0.03361344537815126,0.288135593220339,0.8076923076923077,0.2898730898730897,0.5114253279804315,0.6404794475929907,0.12312945194466407,1
14.21,4.04,2.44,18.9,111,2.85,2.65,0.3,1.25,5.24,0.87,3.33,1080,1,0.0,0.01754385964912286,0.0,0.6,0.6,0.03578781397176789,0.033731102932103796,0.16901408450704225,0.7514044943820224,0.0,0.3609726840506863,0.13559322033898302,0.30297371285554864,0.0,0.5423728813559322,0.7692307692307692,0.2941113260262194,0.4888301471611846,0.6201002063071028,0.062499008047732896,1
14.38,3.59,2.28,16.0,102,3.25,3.17,0.27,2.19,4.9,1.04,3.44,1065,1,0.0,0.01754385964912286,0.0,0.6,0.6,0.03578779782507313,0.03373108679141096,0.16901408450704225,0.7514044943820224,0.0,0.3248716953375367,0.10169491525423724,0.2843078337665088,0.0,0.38983050847457623,0.6538461538461539,0.2722399432925747,0.47064525486201375,0.6078390368083961,0.028211842535020404,1
13.9,1.68,2.12,16.0,101,3.1,3.39,0.21,2.14,6.1,0.91,3.33,985,1,0.0,0.01754385964912286,0.0,0.6,0.6,0.035787798111986624,0.033731087078217814,0.16901408450704225,0.7514044943820224,0.0,0.28557923112487105,0.4067796610169492,0.4279939520653794,0.0,0.30508474576271183,0.7307692307692308,0.2941113260262194,0.47547938156508174,0.6259251702490677,0.03903892199305259,1
14.1,2.02,2.4,18.8,103,2.75,2.92,0.32,2.38,6.2,1.07,2.75,1060,1,0.0,0.01754385964912286,0.0,0.6,0.6,0.03578779770381768,0.03373108667020064,0.16901408450704225,0.7514044943820224,0.0,0.32949238348440113,0.10169491525423724,0.23745438568917787,0.008403361344537815,0.23728813559322037,0.7307692307692308,0.3015250544662305,0.5003046548487815,0.6376811594202899,0.03609616137394567,1
13.94,1.73,2.27,17.4,108,2.88,3.54,0.32,2.08,8.9,1.12,3.1,1260,1,0.0,0.01754385964912286,0.0,0.6,0.6,0.03578779760100281,0.03373108656742396,0.16901408450704225,0.7514044943820224,0.0,0.3188948177736387,0.0847457627118644,0.205306144596068,0.0,0.35593220338983056,0.6538461538461539,0.23683329987285018,0.47468469563874177,0.6393555541141186,0.03153667354546286,1
13.05,1.73,2.04,12.4,92,2.72,3.27,0.17,2.91,7.2,1.12,2.91,1150,1,0.0,0.01754385964912286,0.0,0.6,0.6,0.03578779813569011,0.03373108710191253,0.16901408450704225,0.7514044943820224,0.0,0.4577020851979907,0.711864406779661,0.45911777472010684,0.0,0.6440677966101696,0.6538461538461539,0.280279010779962,0.4282816522495108,0.5452723020380889,0.053392370226128416,1
13.83,1.65,2.6,17.2,94,2.45,2.99,0.22,2.29,5.6,1.24,3.37,1265,1,0.0,0.01754385964912286,0.0,0.6,0.6,0.03578779761626194,0.03373108658267737,0.16901408450704225,0.7514044943820224,0.0,0.33683377347276844,0.22033898305084743,0.32553101251604466,0.0,0.27118644067796616,0.7692307692307693,0.23517670831786877,0.4681053667033547,0.6129476584022039,0.0365805793277828,1
13.82,1.75,2.42,14.0,111,3.88,3.74,0.32,1.87,7.05,1.01,3.26,1190,1,0.0,0.01754385964912286,0.0,0.6,0.6,0.0357877976011125,0.03373108656753365,0.16901408450704225,0.7514044943820224,0.0,0.29229771023121165,0.13559322033898302,0.24899274931268034,0.0,0.44067796610169496,0.6538461538461539,0.2627487369831942,0.463810719495847,0.6376811594202899,0.03517410851592584,1
13.77,1.9,2.68,17.1,115,3.0,2.79,0.39,1.68,6.3,1.13,2.93,1375,1,0.0,0.01754385964912286,0.0,0.6,0.6,0.03578779760105011,0.03373108656747126,0.16901408450704225,0.7514044943820224,0.0,0.2458558537577069,0.0847457627118644,0.13733835075190948,0.0,0.3220338983050848,0.6923076923076923,0.20381811098124336,0.4776579650685577,0.583672086720867,0.03868964950505971,1
13.74,1.67,2.25,16.4,118,2.6,2.9,0.21,1.62,5.85,0.92,3.2,1060,1,0.0,0.01754385964912286,0.0,0.6,0.6,0.035787798942689686,0.03373108790861218,0.16901408450704225,0.7514044943820224,0.0,0.30489783565758255,0.1694915254237288,0.3082094560508898,0.0,0.27118644067796616,0.8076923076923077,0.3250694444444442,0.48419253409853563,0.5641952983725135,0.028186634598682758,1
